epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1071,0.81753,1.22808,0.94587,0.99252,0.46875,0.97171,0.81577,0.56065,1.54755,0.80425,0.000653846,0.000653846,0.000653846
2,32.181,0.59799,0.56629,0.86301,0.98808,0.9926,0.99288,0.86921,0.51902,0.63487,0.80635,0.00127694,0.00127694,0.00127694
3,46.1236,0.56159,0.51419,0.85477,0.99672,0.99817,0.99488,0.88563,0.49959,0.43434,0.81321,0.00185603,0.00185603,0.00185603
4,60.8407,0.55541,0.48025,0.85555,0.99789,0.99753,0.99466,0.87585,0.48972,0.38236,0.80146,0.001802,0.001802,0.001802
5,75.9765,0.53121,0.44338,0.85259,0.99804,0.99836,0.99438,0.89168,0.45384,0.36491,0.80616,0.001736,0.001736,0.001736
6,90.741,0.5332,0.43251,0.85334,0.99835,0.99658,0.99412,0.89483,0.45367,0.33888,0.80086,0.00167,0.00167,0.00167
7,104.812,0.50771,0.39768,0.84921,0.99742,0.99836,0.99472,0.90967,0.42026,0.31562,0.79517,0.001604,0.001604,0.001604
8,119.1,0.51401,0.39602,0.85049,0.99739,0.99753,0.99431,0.90047,0.41575,0.30482,0.7944,0.001538,0.001538,0.001538
9,133.465,0.48926,0.36853,0.84259,0.9981,0.99836,0.9947,0.90905,0.42032,0.30452,0.79333,0.001472,0.001472,0.001472
10,147.29,0.47047,0.35379,0.84362,0.99746,0.99753,0.99328,0.9119,0.3948,0.28245,0.79099,0.001406,0.001406,0.001406
11,161.04,0.46719,0.3457,0.84171,0.99729,0.99836,0.99496,0.91631,0.39168,0.2779,0.79062,0.00134,0.00134,0.00134
12,174.756,0.46308,0.33743,0.8375,0.99825,0.99836,0.99474,0.9243,0.38486,0.26317,0.78806,0.001274,0.001274,0.001274
13,188.492,0.46638,0.33871,0.84004,0.99815,0.99836,0.99488,0.91575,0.39882,0.27508,0.78908,0.001208,0.001208,0.001208
14,202.548,0.45016,0.32293,0.83571,0.99918,0.99913,0.99487,0.92778,0.37848,0.25887,0.78932,0.001142,0.001142,0.001142
15,216.244,0.44469,0.31854,0.83655,0.99908,0.99918,0.99498,0.92575,0.37895,0.25349,0.78587,0.001076,0.001076,0.001076
16,230.151,0.44637,0.31453,0.83318,0.99826,0.99836,0.99414,0.92775,0.37233,0.24795,0.78705,0.00101,0.00101,0.00101
17,244.213,0.43509,0.30591,0.83397,0.99825,0.99836,0.99488,0.93367,0.37084,0.24112,0.78463,0.000944,0.000944,0.000944
18,258.208,0.42343,0.29855,0.83088,0.99828,0.99836,0.99493,0.93454,0.36107,0.23326,0.78426,0.000878,0.000878,0.000878
19,273.053,0.4232,0.2943,0.83261,0.99818,0.99836,0.9948,0.93585,0.3611,0.23121,0.78542,0.000812,0.000812,0.000812
20,286.939,0.42501,0.29168,0.83338,0.99829,0.99836,0.99488,0.94039,0.35789,0.22592,0.78579,0.000746,0.000746,0.000746
21,301.707,0.41286,0.29658,0.81305,0.99906,0.99918,0.99493,0.92862,0.37217,0.2511,0.7889,0.00068,0.00068,0.00068
22,315.236,0.39688,0.27906,0.81474,0.99823,0.99836,0.99452,0.9283,0.36615,0.231,0.78452,0.000614,0.000614,0.000614
23,328.541,0.38617,0.26758,0.81296,0.99815,0.99836,0.99493,0.93663,0.35192,0.22991,0.78436,0.000548,0.000548,0.000548
24,341.875,0.37937,0.26377,0.80755,0.99826,0.99836,0.99451,0.94111,0.34909,0.2248,0.78281,0.000482,0.000482,0.000482
25,355.014,0.37273,0.25564,0.80921,0.99823,0.99836,0.99482,0.94188,0.34369,0.21733,0.78136,0.000416,0.000416,0.000416
26,368.428,0.37143,0.25161,0.8063,0.99826,0.99836,0.99492,0.94016,0.34828,0.21639,0.78273,0.00035,0.00035,0.00035
27,381.626,0.35823,0.24256,0.80628,0.99829,0.99836,0.99498,0.94989,0.33951,0.20549,0.78093,0.000284,0.000284,0.000284
28,394.76,0.34894,0.23302,0.80363,0.99907,0.99918,0.99499,0.94837,0.33188,0.19868,0.77943,0.000218,0.000218,0.000218
29,407.761,0.34797,0.23019,0.8022,0.99825,0.99836,0.99488,0.9511,0.3243,0.19635,0.77906,0.000152,0.000152,0.000152
30,420.933,0.33943,0.22459,0.80094,0.99826,0.99836,0.99489,0.95189,0.3215,0.19266,0.77872,8.6e-05,8.6e-05,8.6e-05
