epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5352,1.37726,2.0249,1.09015,0.92967,0.95057,0.96523,0.63426,1.11848,1.03628,0.93941,0.000552339,0.000552339,0.000552339
2,153.172,1.16682,1.09679,0.98327,0.93153,0.96986,0.97652,0.66474,1.07342,0.77411,0.93374,0.00107144,0.00107144,0.00107144
3,227.05,1.14488,0.94057,0.97481,0.95521,0.96316,0.9709,0.65253,1.10062,0.73144,0.95991,0.00155387,0.00155387,0.00155387
4,299.972,1.10714,0.81963,0.95919,0.95188,0.97462,0.97562,0.64729,1.05031,0.71575,0.92905,0.00150197,0.00150197,0.00150197
5,372.866,1.08919,0.76632,0.95352,0.96643,0.97855,0.97564,0.70223,0.98583,0.63009,0.91404,0.00144696,0.00144696,0.00144696
6,446.005,1.05352,0.72696,0.94022,0.96901,0.97614,0.9782,0.70819,0.96283,0.6114,0.89909,0.00139195,0.00139195,0.00139195
7,517.729,1.0395,0.68734,0.93049,0.9598,0.98753,0.97634,0.70868,0.95406,0.60351,0.89528,0.00133693,0.00133693,0.00133693
8,590.314,1.02433,0.66442,0.9258,0.96249,0.98941,0.9755,0.68298,0.98307,0.59622,0.89498,0.00128192,0.00128192,0.00128192
9,661.853,1.00068,0.64859,0.91912,0.97074,0.9844,0.98093,0.73713,0.91531,0.53595,0.8818,0.00122691,0.00122691,0.00122691
10,735.628,0.99187,0.62023,0.91678,0.97408,0.98894,0.97784,0.72133,0.92538,0.53838,0.88993,0.0011719,0.0011719,0.0011719
11,809.21,0.98726,0.61404,0.91684,0.9683,0.99216,0.97939,0.71345,0.90191,0.53102,0.88236,0.00111689,0.00111689,0.00111689
12,882.185,0.97422,0.60307,0.90964,0.96954,0.98931,0.97899,0.72437,0.93226,0.53331,0.88395,0.00106188,0.00106188,0.00106188
13,955.856,0.958,0.58855,0.90752,0.97072,0.98901,0.97935,0.73305,0.89623,0.49213,0.87634,0.00100687,0.00100687,0.00100687
14,1030.57,0.96748,0.58514,0.90109,0.96704,0.99129,0.97865,0.72004,0.9262,0.52437,0.87995,0.000951857,0.000951857,0.000951857
15,1102.83,0.93805,0.57339,0.90126,0.97156,0.99007,0.97475,0.74103,0.87554,0.50001,0.86895,0.000896846,0.000896846,0.000896846
16,1175.96,0.94577,0.56886,0.90175,0.96973,0.99209,0.97853,0.74073,0.9015,0.49482,0.87325,0.000841835,0.000841835,0.000841835
17,1249.72,0.93883,0.55667,0.8979,0.97136,0.99116,0.97774,0.72673,0.90988,0.49941,0.87978,0.000786824,0.000786824,0.000786824
18,1324.86,0.9152,0.53247,0.89004,0.97145,0.99183,0.97863,0.74823,0.85898,0.46934,0.86691,0.000731813,0.000731813,0.000731813
19,1400.53,0.92276,0.54859,0.89895,0.97387,0.99251,0.98033,0.74239,0.87054,0.466,0.86912,0.000676802,0.000676802,0.000676802
20,1473.95,0.90121,0.53081,0.88857,0.97009,0.99341,0.97742,0.75334,0.86241,0.45852,0.86429,0.000621791,0.000621791,0.000621791
21,1550.06,0.88369,0.49092,0.88372,0.96695,0.99294,0.97454,0.73757,0.88037,0.47148,0.86911,0.00056678,0.00056678,0.00056678
22,1623.18,0.86656,0.48784,0.87892,0.9727,0.99373,0.97636,0.76047,0.85684,0.4637,0.85983,0.000511769,0.000511769,0.000511769
23,1696,0.86873,0.47563,0.88049,0.97395,0.99275,0.97682,0.74556,0.87285,0.45279,0.86536,0.000456758,0.000456758,0.000456758
24,1767.53,0.84624,0.46973,0.87314,0.97578,0.99086,0.97835,0.75401,0.85102,0.4571,0.8643,0.000401747,0.000401747,0.000401747
25,1840.82,0.84101,0.46124,0.86887,0.97125,0.9941,0.97888,0.76313,0.84309,0.44248,0.85845,0.000346736,0.000346736,0.000346736
26,1912.76,0.84243,0.44851,0.87015,0.97299,0.99381,0.97992,0.77244,0.82272,0.42335,0.85631,0.000291725,0.000291725,0.000291725
27,1986.37,0.82028,0.44117,0.86576,0.9751,0.99373,0.97576,0.76258,0.81686,0.41625,0.85492,0.000236714,0.000236714,0.000236714
28,2058.04,0.81358,0.4346,0.86317,0.97488,0.99373,0.97806,0.769,0.81988,0.4171,0.85599,0.000181703,0.000181703,0.000181703
29,2130.15,0.7974,0.42507,0.86054,0.9743,0.99349,0.97956,0.77741,0.80011,0.40542,0.85114,0.000126692,0.000126692,0.000126692
30,2201.47,0.78373,0.41591,0.85896,0.97481,0.99336,0.97995,0.78818,0.78875,0.39577,0.84799,7.1681e-05,7.1681e-05,7.1681e-05
