epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0005,0.88557,0.52642,0.891,0.98011,0.99802,0.98187,0.77292,0.80261,0.43695,0.86164,0.000552215,0.000552215,0.000552215
2,146.677,0.92732,0.55111,0.89606,0.97681,0.99533,0.9822,0.76856,0.84294,0.47393,0.87404,0.00108595,0.00108595,0.00108595
3,218.062,0.95005,0.60284,0.91349,0.9623,0.99458,0.97948,0.73467,0.87752,0.51307,0.88342,0.00159767,0.00159767,0.00159767
4,288.593,0.96933,0.60519,0.91577,0.97898,0.99189,0.98253,0.75516,0.88431,0.49733,0.88526,0.00156798,0.00156798,0.00156798
5,358.927,0.9692,0.59494,0.91869,0.97397,0.9969,0.98218,0.73859,0.88227,0.53028,0.8802,0.00153497,0.00153497,0.00153497
6,427.93,0.96112,0.59741,0.91455,0.97524,0.99714,0.98091,0.74772,0.89028,0.4962,0.87733,0.00150197,0.00150197,0.00150197
7,497.477,0.96184,0.58718,0.9112,0.97926,0.99449,0.98497,0.75753,0.84236,0.4865,0.87259,0.00146896,0.00146896,0.00146896
8,568.404,0.96227,0.59693,0.9107,0.96763,0.99361,0.98102,0.74601,0.87076,0.4922,0.87466,0.00143595,0.00143595,0.00143595
9,637.474,0.93422,0.58109,0.90375,0.97837,0.99407,0.98353,0.73846,0.92723,0.50423,0.88652,0.00140295,0.00140295,0.00140295
10,706.307,0.92755,0.56603,0.90382,0.97461,0.99294,0.98298,0.74597,0.84172,0.48464,0.87218,0.00136994,0.00136994,0.00136994
11,775.14,0.93059,0.55709,0.90265,0.97959,0.99695,0.98524,0.73757,0.90205,0.47969,0.88281,0.00133693,0.00133693,0.00133693
12,844.383,0.93176,0.55708,0.90216,0.97904,0.99537,0.98236,0.76452,0.87721,0.47918,0.87344,0.00130393,0.00130393,0.00130393
13,914.433,0.92211,0.54632,0.89937,0.97957,0.99605,0.98501,0.76849,0.83987,0.44986,0.86728,0.00127092,0.00127092,0.00127092
14,983.553,0.91439,0.5409,0.89709,0.97533,0.99694,0.9827,0.76734,0.83733,0.44866,0.86553,0.00123791,0.00123791,0.00123791
15,1052.2,0.91762,0.54312,0.89852,0.97806,0.99361,0.98453,0.77434,0.83479,0.45343,0.86325,0.00120491,0.00120491,0.00120491
16,1120.74,0.90701,0.55199,0.90118,0.98056,0.99537,0.98499,0.76163,0.84414,0.45936,0.86968,0.0011719,0.0011719,0.0011719
17,1189.71,0.91165,0.53481,0.89683,0.98034,0.99714,0.98283,0.76072,0.82853,0.4461,0.86176,0.00113889,0.00113889,0.00113889
