epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4081,2.15092,4.07031,1.00911,0.00845,0.81945,0.01177,0.00366,1.84441,3.77129,0.86852,0.00045009,0.00045009,0.00045009
2,30.1421,1.77866,2.06259,0.89999,0.0094,0.92529,0.04885,0.01781,1.62335,3.29919,0.85082,0.000894158,0.000894158,0.000894158
3,44.1822,1.64538,1.71164,0.87965,0.01076,0.98708,0.60219,0.32039,1.50964,2.66512,0.83918,0.00131512,0.00131512,0.00131512
4,58.0073,1.62053,1.52076,0.87964,0.88321,0.57438,0.81347,0.45376,1.44016,1.71927,0.83689,0.00154323,0.00154323,0.00154323
5,71.3215,1.57648,1.44271,0.87914,0.79135,0.79022,0.86716,0.50194,1.4602,1.15779,0.83833,0.00150197,0.00150197,0.00150197
6,85.1483,1.55177,1.27682,0.8682,0.8419,0.81074,0.90371,0.5397,1.38533,1.08894,0.8333,0.00146071,0.00146071,0.00146071
7,100.128,1.55138,1.22728,0.87287,0.86583,0.83928,0.89926,0.46646,1.53575,1.01912,0.84552,0.00141945,0.00141945,0.00141945
8,114.211,1.51706,1.12154,0.87294,0.8444,0.84164,0.91839,0.55528,1.32873,0.82242,0.82193,0.00137819,0.00137819,0.00137819
9,128.075,1.48654,1.07066,0.86244,0.86959,0.84843,0.91841,0.55087,1.36637,0.86425,0.82653,0.00133693,0.00133693,0.00133693
10,142.168,1.46238,1.03112,0.86315,0.8827,0.89513,0.93577,0.54906,1.43325,0.80483,0.83154,0.00129568,0.00129568,0.00129568
11,156.166,1.44795,0.9749,0.8571,0.87453,0.89087,0.93585,0.56386,1.32963,0.77684,0.8208,0.00125442,0.00125442,0.00125442
12,169.95,1.41992,0.95162,0.85356,0.85823,0.90155,0.93034,0.5547,1.30871,0.74578,0.81668,0.00121316,0.00121316,0.00121316
13,183.931,1.46488,0.93992,0.86212,0.88327,0.86819,0.92162,0.57693,1.29409,0.75688,0.82294,0.0011719,0.0011719,0.0011719
14,197.44,1.41462,0.90082,0.84928,0.91952,0.87049,0.94557,0.57296,1.3308,0.74467,0.82142,0.00113064,0.00113064,0.00113064
15,211.12,1.43634,0.89626,0.85717,0.90039,0.88799,0.94166,0.59829,1.29217,0.71105,0.81748,0.00108938,0.00108938,0.00108938
16,224.46,1.42627,0.85649,0.84911,0.90877,0.87209,0.93914,0.6004,1.27006,0.72268,0.81705,0.00104813,0.00104813,0.00104813
17,238.061,1.39515,0.83239,0.84527,0.89215,0.87923,0.93944,0.60687,1.26263,0.72698,0.81492,0.00100687,0.00100687,0.00100687
18,251.848,1.40078,0.86081,0.85391,0.85957,0.89581,0.94242,0.56624,1.33695,0.7844,0.8209,0.00096561,0.00096561,0.00096561
19,265.326,1.41411,0.84592,0.85698,0.88573,0.91937,0.95382,0.60749,1.24846,0.70472,0.81514,0.000924352,0.000924352,0.000924352
20,279.045,1.37024,0.79732,0.84905,0.91081,0.92466,0.95188,0.60092,1.23425,0.69238,0.81073,0.000883093,0.000883093,0.000883093
21,292.732,1.39224,0.8071,0.8553,0.90015,0.93457,0.9541,0.61284,1.23599,0.67092,0.81096,0.000841835,0.000841835,0.000841835
22,306.15,1.38788,0.79322,0.85169,0.91271,0.90338,0.95203,0.60984,1.24616,0.6878,0.81524,0.000800577,0.000800577,0.000800577
23,320.01,1.36847,0.79337,0.84937,0.8929,0.93499,0.95133,0.60946,1.25836,0.67378,0.8155,0.000759318,0.000759318,0.000759318
24,333.447,1.35335,0.77526,0.849,0.87732,0.93861,0.93504,0.57722,1.34848,0.68634,0.82339,0.00071806,0.00071806,0.00071806
25,347.786,1.39974,0.76294,0.84903,0.89142,0.93629,0.95374,0.59577,1.28239,0.6859,0.81249,0.000676802,0.000676802,0.000676802
26,361.544,1.36585,0.76599,0.84458,0.91645,0.93001,0.95754,0.62103,1.25251,0.66494,0.81179,0.000635544,0.000635544,0.000635544
27,375.248,1.34696,0.74891,0.8507,0.88907,0.95779,0.95299,0.62041,1.23738,0.68357,0.81057,0.000594286,0.000594286,0.000594286
28,388.651,1.33343,0.73836,0.83763,0.91593,0.92795,0.9597,0.61793,1.22574,0.65586,0.80961,0.000553027,0.000553027,0.000553027
