epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3764,2.12184,3.05332,1.00893,0,0,0,0,nan,nan,nan,0.0705357,0.00327381,0.00327381
2,39.9415,1.93121,1.32454,0.9393,0,0,0,0,nan,nan,nan,0.0405178,0.00658923,0.00658923
3,56.8811,1.90495,1.28439,0.95415,0,0,0,0,nan,nan,nan,0.0104282,0.00983295,0.00983295
4,74.1306,1.86198,1.17947,0.92729,0.10288,0.0581,0.02622,0.01099,2.2884,nan,0.98846,0.00975773,0.00975773,0.00975773
5,92.9041,1.73183,1.08479,0.90537,0.42034,0.24773,0.24368,0.11185,1.85338,2.06881,0.93534,0.00957205,0.00957205,0.00957205
6,111.439,1.68594,1.02068,0.90294,0.84148,0.81635,0.85761,0.47262,1.50497,0.95335,0.85405,0.00933683,0.00933683,0.00933683
7,128.918,1.66999,0.99293,0.90073,0.56916,0.70653,0.78557,0.41918,1.51998,1.30932,0.85304,0.00905463,0.00905463,0.00905463
8,145.94,1.6623,1.00038,0.89598,0.6113,0.67676,0.76204,0.36775,1.58804,2.18505,0.86243,0.00872857,0.00872857,0.00872857
9,163.092,1.61581,0.96724,0.8949,0.8352,0.82643,0.84797,0.46608,1.47794,0.89099,0.8441,0.0083622,0.0083622,0.0083622
10,180.616,1.61169,0.92829,0.89768,0.88102,0.84448,0.89846,0.50609,1.43826,0.80949,0.84388,0.00795954,0.00795954,0.00795954
11,199.125,1.56918,0.91984,0.87018,0.8571,0.86393,0.90353,0.51969,1.44203,0.80435,0.83834,0.007525,0.007525,0.007525
12,216.164,1.59497,0.95918,0.8853,0.8541,0.84828,0.91814,0.52918,1.39127,0.80904,0.83358,0.00706335,0.00706335,0.00706335
13,233.368,1.53596,0.89855,0.87893,0.82623,0.8562,0.91705,0.49157,1.50941,0.87793,0.84776,0.00657963,0.00657963,0.00657963
14,250.535,1.5486,0.86576,0.88286,0.8138,0.80747,0.86993,0.42491,1.61253,0.945,0.85783,0.00607916,0.00607916,0.00607916
15,267.642,1.56406,0.86826,0.88432,0.84352,0.86472,0.9042,0.5038,1.40785,0.80404,0.83567,0.00556742,0.00556742,0.00556742
16,286.407,1.50017,0.83326,0.87283,0.8932,0.88559,0.91462,0.55326,1.3358,0.75275,0.82713,0.00505,0.00505,0.00505
17,303.375,1.48312,0.80527,0.87288,0.89427,0.88032,0.9202,0.52863,1.39539,0.76038,0.83054,0.00453258,0.00453258,0.00453258
18,320.645,1.43397,0.80052,0.86348,0.90577,0.90221,0.9335,0.55841,1.32204,0.71482,0.82432,0.00402084,0.00402084,0.00402084
19,337.697,1.43292,0.77772,0.8672,0.91895,0.89465,0.93808,0.57764,1.30068,0.66792,0.82153,0.00352037,0.00352037,0.00352037
20,354.66,1.42081,0.76449,0.8678,0.91329,0.90019,0.94782,0.59338,1.25232,0.66637,0.81619,0.00303665,0.00303665,0.00303665
21,374.902,1.39152,0.72813,0.87806,0.89252,0.89393,0.92903,0.57495,1.36279,0.70042,0.8262,0.002575,0.002575,0.002575
22,391.916,1.38844,0.7246,0.87773,0.90905,0.89958,0.94036,0.56729,1.31243,0.70058,0.81885,0.00214046,0.00214046,0.00214046
23,408.609,1.35539,0.70248,0.87306,0.90792,0.91184,0.94638,0.60189,1.25075,0.66224,0.81684,0.0017378,0.0017378,0.0017378
24,425.428,1.33327,0.68376,0.86791,0.90126,0.92951,0.94338,0.59374,1.2314,0.65854,0.81139,0.00137143,0.00137143,0.00137143
25,442.124,1.32906,0.6833,0.86629,0.90891,0.89048,0.93744,0.58582,1.26096,0.66333,0.81762,0.00104537,0.00104537,0.00104537
26,459.566,1.27993,0.6747,0.86122,0.91871,0.91542,0.94032,0.58895,1.23808,0.64912,0.81413,0.000763174,0.000763174,0.000763174
27,477.742,1.28937,0.68217,0.85753,0.91807,0.88939,0.93458,0.57969,1.24909,0.66146,0.81245,0.00052795,0.00052795,0.00052795
28,494.433,1.27797,0.64579,0.86784,0.91803,0.88823,0.93493,0.59252,1.22369,0.64609,0.81028,0.00034227,0.00034227,0.00034227
29,511.449,1.28686,0.65314,0.87429,0.91453,0.89636,0.93631,0.59656,1.20617,0.64112,0.80853,0.000208169,0.000208169,0.000208169
30,528.377,1.26471,0.6448,0.85291,0.90377,0.90539,0.93115,0.58772,1.2167,0.64662,0.8097,0.000127117,0.000127117,0.000127117
